wavelength (nm),fluorescence (arb. units)
961.511,257.04
961.67,247.65
961.829,256.95
961.988,247.44
962.147,250.815
962.306,248.22
962.465,249.225
962.624,251.22
962.783,247.425
962.942,237.015
963.101,240.435
963.26,224.115
963.419,226.485
963.578,219.84
963.738,223.95
963.897,218.52
964.056,216.645
964.215,213.375
964.374,213.705
964.533,208.65
964.692,208.2
964.851,200.52
965.009,206.715
965.168,200.25
965.327,200.7
965.486,192.15
965.645,195.255
965.804,193.02
965.963,195.465
966.122,184.935
966.281,188.01
966.44,180.6
966.599,183.165
966.758,176.25
966.917,175.83
967.076,170.13
967.235,172.41
967.394,164.94
967.553,165.585
967.712,160.38
967.871,162.84
968.03,161.955
968.189,158.82
968.348,156.705
968.507,155.31
968.666,155.205
968.825,157.71
968.983,147.225
969.142,154.17
969.301,145.62
969.46,146.76
969.619,143.4
969.778,142.62
969.937,139.755
970.096,140.13
970.255,139.26
970.414,134.205
970.573,128.97
970.732,133.395
970.89,134.19
971.049,129.525
971.208,127.035
971.367,132.525
971.526,128.7
971.685,127.62
971.844,118.215
972.003,126.78
972.162,123.66
972.32,124.815
972.479,126.66
972.638,121.875
972.797,122.04
972.956,124.71
973.115,115.86
973.274,118.545
973.433,117.36
973.591,116.595
973.75,112.89
973.909,119.625
974.068,110.805
974.227,118.44
974.386,107.34
974.545,114.78
974.703,111.69
974.862,110.79
975.021,110.13
975.18,108.765
975.339,108.6
975.498,105.96
975.656,106.29
975.815,104.925
975.974,106.965
976.133,105.885
976.292,100.92
976.451,100.98
976.609,100.875
976.768,102.06
976.927,101.175
977.086,98.055
977.245,98.34
977.403,103.905
977.562,97.965
977.721,101.745
977.88,99.99
978.039,94.41
978.197,96.465
978.356,93.21
978.515,96.63
978.674,96.435
978.833,96.15
978.991,92.52
979.15,92.55
979.309,97.08
979.468,90.795
979.626,92.505
979.785,91.74
979.944,91.65
980.103,84.03
980.262,87.27
980.42,91.8
980.579,88.455
980.738,89.1
980.897,87.045
981.055,80.565
981.214,86.64
981.373,83.625
981.532,84.21
981.69,88.395
981.849,85.86
982.008,82.365
982.166,81.75
982.325,83.4
982.484,87.915
